Monetary policy stance,Sentence,Central bank,Country
dovish,The domestic economy was continuing to decline from the peak of the business cycle.,Czech National Bank,Czechia
dovish,The board members agreed that the overall balance of risks to inflation was clearly on the downside and that the new information received since the previous monetary policy meeting and since the completion of the new forecast was tending towards a more significant reduction of interest rates.,Czech National Bank,Czechia
dovish,"In particular, the outlook for the euro area was deteriorating, interest rates were falling around the world, and prices of commodities, energy-producing materials and food were decreasing sharply.",Czech National Bank,Czechia
dovish,"The Board stated that the domestic economy was currently exposed to an unusual combination of anti-inflationary shocks of a cost, exchange rate and demand nature. ",Czech National Bank,Czechia
dovish,The downswing in economic activity abroad was gradually transmitting to the domestic economy as a result of the latter?s strong export orientation.,Czech National Bank,Czechia
dovish,At the close of the meeting the Board decided by a majority vote to lower the CNB two-week repo rate.,Czech National Bank,Czechia
dovish,Both the situation report and the assessment of the latest data implied a clear anti-inflationary balance of risks for the forecast.,Czech National Bank,Czechia
dovish,The Board agreed that the external environment in particular was a source of sizeable anti-inflationary shocks.,Czech National Bank,Czechia
dovish,At the same time it decided to lower the discount rate and Lombard rate.,Czech National Bank,Czechia
dovish,The domestic economy was continuing to decline from the peak of the business cycle.,Czech National Bank,Czechia
dovish,"According to the new forecast, inflation would fall this year and would approach zero in mid-2009. ",Czech National Bank,Czechia
dovish,Consistent with the forecast was a decline in interest rates.,Czech National Bank,Czechia
dovish,The board members agreed that the appropriate response to the current situation was to lower rates.,Czech National Bank,Czechia
dovish,"The Board agreed that the Czech economy, which is highly open, would be hard hit by the slump in external demand.",Czech National Bank,Czechia
dovish,A slump in production capacity utilisation would imply a need to adapt to the new market conditions in the Czech economy and abroad. ,Czech National Bank,Czechia
dovish,"Considerable attention was also given to developments in the labour market, where the number of vacancies was continuing to fall and unemployment was on the rise. ",Czech National Bank,Czechia
dovish,"Owing to the deepening global economic crisis, the economic situation had been less favourable in this period than assumed by the previous forecast. ",Czech National Bank,Czechia
dovish,"As regards inflation expectations, it was said that a decrease could be expected. ",Czech National Bank,Czechia
dovish,"In response to the sharp economic downswing abroad, domestic GDP had fallen in 2009 Q1 by 0.9 percentage point more than forecasted. ",Czech National Bank,Czechia
dovish,It was said repeatedly that a reduction in rates was consistent with the new forecast.,Czech National Bank,Czechia
dovish,It was said several times that the external forecasts predicting a relatively rapid rebound might be overly optimistic. ,Czech National Bank,Czechia
dovish,"The rate of growth of potential output might also slow, so the lower economic growth would not necessarily have an anti-inflationary effect and consequently would not necessitate a monetary policy easing. ",Czech National Bank,Czechia
dovish,"The Board stated that the fiscal measures would imply a restriction of demand, which would have an anti-inflationary effect.",Czech National Bank,Czechia
dovish,"Inflation had continued falling in 2009 Q3, fluctuating well below the lower boundary of the inflation-target tolerance band. ",Czech National Bank,Czechia
dovish,"On the one hand, it was argued that a reduction of interest rates was desirable since it would allow the interest rate differential to decrease.",Czech National Bank,Czechia
dovish,"The Board then discussed GDP, which had recorded a lower-than-forecasted year-on-year decline. ",Czech National Bank,Czechia
dovish,"Headline inflation had risen in 2009 Q4, but had remained below the lower boundary of the tolerance band around the inflation target.",Czech National Bank,Czechia
dovish,"According to the forecast, no domestic inflation pressures were currently visible.",Czech National Bank,Czechia
dovish,The decline in employment had deepened further and unemployment had increased. ,Czech National Bank,Czechia
dovish,"In year-on-year terms, GDP had continued falling, doing so faster than the forecast had assumed.",Czech National Bank,Czechia
dovish,"However, some of the board members expressed the view that the aforementioned anti-inflationary risks were so significant that a downward movement of interest rates could be imagined if they were to materialise.",Czech National Bank,Czechia
dovish,"In the discussion that followed the presentation of the situation report, the prevailing view was that the overall macroeconomic environment was anti-inflationary and that the appropriate response would be to lower rates.",Czech National Bank,Czechia
dovish,The prevailing view in the discussion was that there were anti-inflationary risks of lower economic growth abroad owing to the fiscal situation in certain indebted euro area countries. ,Czech National Bank,Czechia
dovish,"By contrast, the indicators of the domestic real economy were generally anti-inflationary: annual GDP growth had been 0.7 percentage points lower than forecasted, the decline in total employment had increased, and wage growth had been lower than expected.",Czech National Bank,Czechia
dovish,"In the discussion of the lower-than-forecasted GDP growth and the structure of GDP formation, mention was made of the sharp decline in construction output.",Czech National Bank,Czechia
dovish,It was said that this reflected households? reluctance to spend combined with government austerity measures.,Czech National Bank,Czechia
dovish,Fiscal policy could therefore foster lower economic growth and lower inflation next year. ,Czech National Bank,Czechia
dovish,The labour market was still being affected by the fading recession. ,Czech National Bank,Czechia
dovish,It was said repeatedly that the current exchange rate and the demand effect of the planned fiscal consolidation were among the downside risks to inflation,Czech National Bank,Czechia
dovish,Lower inflation had been fostered by a stronger exchange rate and the impacts of the proposed fiscal consolidation. ,Czech National Bank,Czechia
dovish,Doubts were repeatedly expressed about whether the GDP growth forecast of 1.2% for 2011 was not too pessimistic. ,Czech National Bank,Czechia
dovish,"In this regard, it was said that even though the uncertainty associated with expected GDP growth was high, there was spare capacity in the economy and the output gap was significantly negative.",Czech National Bank,Czechia
dovish,The inflation pressures were therefore very subdued.,Czech National Bank,Czechia
dovish,"GDP growth would temporarily slow to 1.6% in 2011 as a result of fiscal consolidation, a decline in some specific investments and investment in inventories, and slowing growth in external economic activity.",Czech National Bank,Czechia
dovish,Monetary aggregate growth in the Czech Republic and in the euro area was currently subdued and not indicating any danger of inflation.,Czech National Bank,Czechia
dovish,"The initial inflationary pressures stemming from the domestic economy were not significant at present, owing to weak domestic demand and low wage growth.",Czech National Bank,Czechia
dovish,"Economic growth would slow to 1.5% this year as a result of fiscal restriction, fading investment in inventories and slowing external economic activity.",Czech National Bank,Czechia
dovish,The debt problems in some euro area countries were a downside risk.,Czech National Bank,Czechia
dovish,The prevailing view was that domestic demand was subdued and that GDP growth would slow further this year.,Czech National Bank,Czechia
dovish,"Economic growth would be dampened by fiscal consolidation, slackening growth in external economic activity, fading investment in inventories and by the debt problems in the euro area and elsewhere. ",Czech National Bank,Czechia
dovish,Lower-than-expected growth abroad and an escalation of the debt problems of certain euro area countries were sources of increased uncertainty. ,Czech National Bank,Czechia
dovish,The risks of the forecast were tilted slightly towards lower inflation and significantly towards lower interest rates.,Czech National Bank,Czechia
dovish,"Annual GDP growth had been 2.2% in Q2, i.e. 0.3 percentage point lower than forecasted. Annual inflation had been 1.7% in August, i.e. 0.4 percentage point lower than forecasted.",Czech National Bank,Czechia
dovish,Monetary-policy relevant inflation would be slightly below the inflation target over the entire forecast horizon. ,Czech National Bank,Czechia
dovish,"Economic growth would slow in the remainder of 2011 and further in 2012, mainly in response to a contraction in external demand and owing to fiscal consolidation.",Czech National Bank,Czechia
dovish," The Board agreed that the risks and uncertainties were currently extremely high and that the majority of them would come from abroad, owing mainly to the escalation of the debt crisis in the euro area.",Czech National Bank,Czechia
dovish,"It was said several times that the situation in the euro area could be assessed as anti-inflationary owing to reduced outlooks for economic growth, inflation and the interest rate path.",Czech National Bank,Czechia
dovish,"It was said that the demand-pull inflation pressures in the domestic economy would be insignificant this year owing to the absence of GDP growth, fiscal consolidation and also lower household purchasing power because of the VAT increase.",Czech National Bank,Czechia
dovish,The annual growth of the domestic economy ? driven solely by net exports ? had recorded a further noticeable slowdown in 2011 Q4.,Czech National Bank,Czechia
dovish,"By contrast, the slow growth of the domestic economy was dampening inflation.",Czech National Bank,Czechia
dovish,"Domestic economic activity was also anti-inflationary by comparison with the baseline scenario, as GDP had fallen by 0.7 percentage point year on year in 2012 Q1 whereas the forecast had predicted stagnation.",Czech National Bank,Czechia
dovish,Practically all components of GDP had been lower than forecasted.,Czech National Bank,Czechia
dovish,"In the discussion that followed the presentation of the situation report, the consensus was that the demand pressures from the domestic economy were currently very subdued and would remain anti-inflationary.",Czech National Bank,Czechia
dovish,The prevailing view was that the economy did not currently have room for higher wage growth given the pessimism of domestic economic agents about the future economic situation.,Czech National Bank,Czechia
dovish,Monetary-policy relevant inflation would decline below the target at the end of this year and would remain below it until the end of the forecast horizon. ,Czech National Bank,Czechia
dovish,"However, it was also said that a timely interest rate cut was the appropriate monetary policy response.",Czech National Bank,Czechia
dovish,The Board discussed the causes of the worse growth outlook for the Czech economy.,Czech National Bank,Czechia
dovish,"It was said repeatedly that relatively pessimistic private sector expectations were a major factor, in addition to the negative growth outlook for the euro area and the impacts of fiscal consolidation, and that this pessimism was not necessarily in line with Czech economic fundamentals.",Czech National Bank,Czechia
dovish,"In the discussion that followed the presentation of the situation report, the Board agreed that domestic economic activity was subdued and therefore anti-inflationary.omestic economic activity was subdued and therefore anti-inflationary. ",Czech National Bank,Czechia
dovish,"In this context, it was mentioned that a rise in household savings accompanied by falling consumption represented a downside risk to inflation.",Czech National Bank,Czechia
dovish,The Board discussed in detail the role of the exchange rate of the koruna as an anti-inflationary factor.,Czech National Bank,Czechia
dovish,Most of the board members agreed that the appropriate monetary policy response was to lower rates to technical zero and keep them at this level over a longer horizon until inflation pressures increased significantly.,Czech National Bank,Czechia
dovish,It was said repeatedly that inflation would be in the lower part of the tolerance band for the foreseeable future and that a decline in rates was consistent with this outlook.,Czech National Bank,Czechia
dovish,It was said that new GDP figures confirmed that the economy was in recession.,Czech National Bank,Czechia
dovish,It was said repeatedly that the anti-inflationary domestic economy was affecting the labour market.,Czech National Bank,Czechia
dovish,It was said in the discussion that GDP growth was lagging behind the fundamentals of the Czech economy and that the weaker growth was due to low sentiment among households and corporations stemming from uncertainty at home and abroad.,Czech National Bank,Czechia
dovish,Europe was described as being in a period of sustained low growth and burdened by numerous economic problems. ,Czech National Bank,Czechia
dovish,"The decline in real GDP had deepened to -1.7% in Q4, representing a decrease of 0.3 percentage point more than had been forecasted. ",Czech National Bank,Czechia
dovish,It was said that the decline in net exports was also hardly a signal of sustained domestic economic recovery. ,Czech National Bank,Czechia
dovish,The Board discussed the causes of the lower-than-forecasted household consumption growth in detail.,Czech National Bank,Czechia
dovish,It was said that the spreading debt problems in the south of the euro area had undermined confidence within the external financial sector and that the lower sentiment was spreading to the external and domestic real economy.,Czech National Bank,Czechia
dovish,"In the discussion that followed the presentation of the situation report, the Board agreed that anti-inflationary factors had accumulated since the previous situation report and that no significant upside risks to inflation were apparent over the entire forecast horizon. ",Czech National Bank,Czechia
dovish,This deviation had been due to lower gross capital formation as a result of a deeper decline in inventories. ,Czech National Bank,Czechia
dovish,It was said that risks towards a need for easier monetary conditions had already been identified when the forecast was being discussed six weeks earlier and that the new data were strengthening this need. ,Czech National Bank,Czechia
dovish,The majority of the board members also agreed that there was an increasing likelihood of commencing foreign exchange interventions in order to further ease monetary policy.,Czech National Bank,Czechia
dovish,The Board also agreed that the appropriate response was to leave rates unchanged and to maintain them at technical zero over a longer horizon until inflation pressures increase significantly.,Czech National Bank,Czechia
dovish,"The economy was below its potential and was not emerging from the trough of the business cycle, and domestic demand was depressed.",Czech National Bank,Czechia
dovish,The Board also decided to continue using the exchange rate as an additional instrument for easing the monetary conditions and confirmed the CNB?s commitment to intervene in the foreign exchange market to weaken the exchange rate so as to keep the exchange rate of the koruna against the euro close to CZK 27/EUR.,Czech National Bank,Czechia
dovish,The domestic economy thus remained anti-inflationary in a context of very low nominal wage growth.,Czech National Bank,Czechia
dovish,The risks to the current inflation forecast were on the downside mainly because of an unexpectedly large year-on-year decline in nominal wages in the business sector in 2013 Q4.,Czech National Bank,Czechia
dovish,It was said repeatedly in this regard that the undershooting of the inflation target and the further accumulation of anti-inflationary risks in the domestic economy reflected insufficient monetary easing in past quarters.,Czech National Bank,Czechia
dovish,The deflationary tendencies on the labour market were also posited as a possible explanation of the observed decline in wages in 2013 Q4.,Czech National Bank,Czechia
dovish,"It was said that in the euro area disinflationary pressures were still evident in consumer and producer prices, which were causing lower domestic inflation via slower growth in import prices.",Czech National Bank,Czechia
dovish,"It was said several times that inflation in the euro area was significantly below expectations, the price index outlooks were being revised downwards and there was no sign of any change that might have a further negative effect on domestic inflation in the future. ",Czech National Bank,Czechia
dovish,"However, the opinion was also expressed that production capacity was not yet fully utilised and the domestic economy was ceasing to be anti-inflationary rather than having a stronger inflationary effect. ",Czech National Bank,Czechia
dovish,The low inflation had been due to a continuing decline in administered prices and subdued inflation in the euro area. ,Czech National Bank,Czechia
dovish,"It was also said that economic growth was not creating sufficient inflationary pressures as yet and that, on the contrary, disinflationary pressures from abroad were prevailing. ",Czech National Bank,Czechia
dovish,"Both headline and monetary policy-relevant inflation had decreased in Q4, remaining well below the lower boundary of the tolerance band around the target.",Czech National Bank,Czechia
dovish,"As expected, annual growth of the Czech economy had slowed to 1.5% in 2014 Q4.",Czech National Bank,Czechia
dovish,"The environment was currently one of low inflation, as evidenced in particular by low wage growth.",Czech National Bank,Czechia
dovish,It was said that it was appropriate to continue with the easy monetary policy as currently configured.,Czech National Bank,Czechia
dovish,Import prices were depressing inflation.,Czech National Bank,Czechia
dovish,"It was said several times that although the need for easy monetary conditions had decreased since the previous meeting, it remained high, as evidenced by the only slow return of inflation to the inflation target from below over the monetary policy horizon.",Czech National Bank,Czechia
dovish,"The deviation from the forecast had been due predominantly to a renewed decline in food prices, reflecting a drop in prices of food and agricultural commodities. ",Czech National Bank,Czechia
dovish,The main causes of the fall in inflation had been a slowdown in annual food price inflation and an acceleration of the decline in fuel prices.,Czech National Bank,Czechia
dovish,There was a consensus that it was appropriate to leave monetary policy rates at technical zero and that a need to maintain significantly easy monetary conditions persisted. ,Czech National Bank,Czechia
dovish,It was said repeatedly that the drop in oil prices was a positive supply shock.,Czech National Bank,Czechia
dovish,Prices of food and fuels had declined as a result of persisting anti-inflationary supply shocks from abroad,Czech National Bank,Czechia
dovish,This would be due mainly to a fall in government investment as a result of an only gradual start to the drawdown of EU funds in the new programme period.,Czech National Bank,Czechia
dovish,"In the discussion that followed the presentation of the situation report, the Board assessed the risks to the new forecast as being slightly anti-inflationary.",Czech National Bank,Czechia
dovish,There was a consensus that the balance of risks to the current forecast was slightly anti-inflationary at the monetary policy horizon. ,Czech National Bank,Czechia
dovish,It was also said that in the short term the increased uncertainty would lead to a downturn in investment activity. ,Czech National Bank,Czechia
dovish,A number of the board members nevertheless expressed doubts about the resumption of investment growth in 2016 H2 assumed in the forecast. ,Czech National Bank,Czechia
dovish,"It was mentioned repeatedly that, unlike headline inflation, adjusted inflation excluding fuels as an indicator of domestic demand-pull inflation pressures was still below the inflation target. ",Czech National Bank,Czechia
dovish,"Likewise, the currently very subdued government investment would revert to growth this year.",Czech National Bank,Czechia
dovish,"By contrast, the construction industry was still in decline as a result of a continued fall in infrastructure investment.",Czech National Bank,Czechia
dovish,The inflation pressures would ease in the period ahead owing to rising labour productivity growth and a renewed anti-inflationary effect of import prices.,Czech National Bank,Czechia
dovish,"In the area of government investment, by contrast, the opinions were generally sceptical, partly due to slower drawdown of European funds.",Czech National Bank,Czechia
dovish,"Risks in this direction stemmed mainly from inflation, which had decreased faster at the start of this year than the CNB had expected.",Czech National Bank,Czechia
dovish,"According to the new forecast, inflation would stay slightly below the target this year.",Czech National Bank,Czechia
dovish,"It had been lower than forecasted, mainly as a result of a one-off shock to food price growth.",Czech National Bank,Czechia
dovish,"The Board also discussed the observed cooling of international trade, which was fuelling concerns of a potential stronger global growth slowdown.",Czech National Bank,Czechia
dovish,"Nevertheless, the overall inflation pressures in the domestic economy were easing somewhat, due mainly to a decline in import prices.",Czech National Bank,Czechia
dovish,The growth of the Czech economy would slow in the quarters ahead due to weak growth in external demand and would return close to its potential rate at the end of next year.,Czech National Bank,Czechia
dovish,Another issue discussed was the observed slowdown in domestic private investment growth linked with the slackening of economic growth abroad and its effect on domestic inflation.,Czech National Bank,Czechia
dovish,"According to a majority of its members, numerous indicators ? among them household consumption, employment, the average wage and the total volume of wages and salaries ? were rising rather more slowly than forecasted.",Czech National Bank,Czechia
dovish,"The aim of the meeting was to adopt, in a timely and flexible manner, stabilising monetary, macroprudential and microprudential policy measures to mitigate the impacts of the coronavirus pandemic on price and financial stability and on the Czech economy.",Czech National Bank,Czechia
dovish,"Based on the available information, the Czech economy could be expected to slow sharply or even contract this year.",Czech National Bank,Czechia
dovish,"The strong domestic inflation pressures, which had been amplified by one-off factors at the start of the year, would fade quickly.",Czech National Bank,Czechia
dovish,"There was also an in-depth discussion of the exchange rate, which had depreciated significantly as a result of the substantially worse economic outlook and financial market panic.",Czech National Bank,Czechia
dovish,"In addition, the Board declared it was ready to cut interest rates further should the economic situation so require.",Czech National Bank,Czechia
dovish,A majority of the board members felt that the risks to future inflation were tilted to the downside compared with the baseline scenario of the forecast.,Czech National Bank,Czechia
dovish,"The board members agreed that a worse course of the pandemic, longer lockdowns at home and abroad and an ensuing deterioration in the financial situation and sentiment of businesses and households were the main risk to the forecast.",Czech National Bank,Czechia
dovish,This could lead to a lengthier cyclical downturn of the Czech economy and hence to a need to keep monetary conditions accommodative for longer than assumed in the baseline scenario of the forecast.,Czech National Bank,Czechia
dovish,"In addition to high prices of commodities and energy, these pressures reflected persisting problems in global production chains.",Czech National Bank,Czechia
hawkish,It was stated in the discussion that this was consistent with the persisting attractiveness of the Czech economy and the still sufficient room for foreign direct investment inflow.,Czech National Bank,Czechia
hawkish,The argument was also made that the appreciation of the Czech currency against the euro was linked with developments in the region and that the decision-making of large financial investors was not based solely on the interest rate differential. ,Czech National Bank,Czechia
hawkish,"There was a consensus that the upside risks to inflation also included the robust economic growth in neighbouring countries, as the latest indicators from these countries were even better than originally assumed in the forecast.",Czech National Bank,Czechia
hawkish,"The opinion was also expressed, however, that the risks to inflation were skewed slightly to the upside overall.",Czech National Bank,Czechia
hawkish,The nominal exchange rate was identified as an upside risk to inflation. ,Czech National Bank,Czechia
hawkish,"Another upside risk to inflation mentioned was expected developments abroad, where the primary upside factors included a rise in interest rates in the euro area, leading to a widening of the negative interest rate differential, and also an increase in expected economic growth.",Czech National Bank,Czechia
hawkish,In the context of the assessment of external developments it was said that the higher economic growth combined with the lower expected inflation perhaps suggested growth in potential output without the need to tighten monetary policy.,Czech National Bank,Czechia
hawkish,The accelerating money supply growth was also identified as a potential medium-term upside risk to inflation.,Czech National Bank,Czechia
hawkish,Higher expectations regarding economic growth and interest rates in the euro area were presented as a moderate upside risk. ,Czech National Bank,Czechia
hawkish,The rising share of household consumption in GDP was mentioned as a moderate upside risk.,Czech National Bank,Czechia
hawkish,Opinions were expressed that a more optimistic outlook for euro area growth and expectations of further ECB interest rate increases - together with their implications for domestic exchange rate developments - were moderate upside risks. ,Czech National Bank,Czechia
hawkish,It was said that the decline in unemployment and some indications from the corporate sector suggested that the labour market would not be able to accommodate further economic growth easily.,Czech National Bank,Czechia
hawkish,Workforce shortages could therefore increase pressures on inflation.,Czech National Bank,Czechia
hawkish,According the forecast the Czech economy had been fluctuating above the non-accelerating inflation level of output for six quarters.,Czech National Bank,Czechia
hawkish,"The growth structure had changed, with consumption and investment now being the engines of economic growth. ",Czech National Bank,Czechia
hawkish,"It was said that the external environment - for instance the increase in the euro area growth estimate, but also the latest data on higher oil prices than expected in the forecast - could become an inflationary factor. ",Czech National Bank,Czechia
hawkish,The Board agreed that the growth of the Czech economy would remain robust.,Czech National Bank,Czechia
hawkish,It was also said that utilisation of production capacities was higher than in past years.,Czech National Bank,Czechia
hawkish,It was said several times that unemployment was coming down fairly rapidly and that this might signal the onset of wage inflation pressures. ,Czech National Bank,Czechia
hawkish,"Four members voted in favour of this decision, and two members voted for increasing rates by 0.25 percentage point.",Czech National Bank,Czechia
hawkish,These risks were assessed in the situation report as being on the upside overall. ,Czech National Bank,Czechia
hawkish,Annual consumer price inflation had risen to 2.5% in April and was thus 0.4 percentage points higher than forecasted. ,Czech National Bank,Czechia
hawkish,Figures from the real economy suggested a risk of higher-than-expected GDP growth in the first quarter of 2007.,Czech National Bank,Czechia
hawkish,There was a discussion about whether the upside risks of the forecast associated with the evolution of the domestic economy were already starting to materialise.,Czech National Bank,Czechia
hawkish,"The higher-than-forecasted rise in the consumer price index might thus have been due to a combination of several factors that were not linked with monetary policy, such as shifts in the seasonality of food prices, shifts in the timing of the impacts of the increase in indirect taxes and the of the rise in regulated prices, etc.",Czech National Bank,Czechia
hawkish,"The relatively sharp fall in the general unemployment rate compared to the forecast was identified as an upside factor, as it might lead to higher wage growth.",Czech National Bank,Czechia
hawkish,"In the light of the effects on economic growth and inflation in the Czech Republic, the Board also discussed the pick-up in economic growth in the euro area and the related revision of the external growth prospects. ",Czech National Bank,Czechia
hawkish,"At the close of the meeting the Board decided to increase the CNB two-week repo rate by 0.25 percentage points to 2.75 %, effective 1 June 2007.",Czech National Bank,Czechia
hawkish,"At the same time it decided to increase the discount rate and Lombard rate by the same amount, to 1.75 % and 3.75 % respectively. ",Czech National Bank,Czechia
hawkish,"The underlying domestic factors included new information from the labour market, including faster wage growth, along with an upswing in economic growth and higher-than-forecasted inflation.",Czech National Bank,Czechia
hawkish,Expected external economic growth had picked up pace and expected interest rates in the euro area had risen. ,Czech National Bank,Czechia
hawkish,The majority of the members agreed that the balance of risks was tilted towards the upside.,Czech National Bank,Czechia
hawkish, The prevailing view in the discussion was that the newly observed growth in nominal unit wage costs in industry was indicating wage-cost pressures.,Czech National Bank,Czechia
hawkish,"It was also said, however, that temporarily increased nominal unit wage costs can also be a sign that businesses are gearing up for a further strengthening of demand, and the opinion was expressed that faster-growing wages can be natural for a converging economy.",Czech National Bank,Czechia
hawkish,"In a debate on the newly published GDP figures it was said that the rapid economic growth was continuing, and the view was presented that a further increase in domestic demand growth could be expected.",Czech National Bank,Czechia
hawkish,The opinion was expressed that rapid economic growth should not be a reason for tightening monetary policy.,Czech National Bank,Czechia
hawkish,Another of the upside factors debated was the observed higher agricultural producer price inflation. ,Czech National Bank,Czechia
